"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Aug 11 12:00:15 WAT 2023","Fri Aug 11 12:00:15 WAT 2023","327","Transactional","SMS statistics","","","","Get all your SMS activity (unaggregated events)",""
"passed","Fri Aug 11 12:00:16 WAT 2023","Fri Aug 11 12:00:16 WAT 2023","273","Account","Webhooks","","","","Create a webhook",""
"passed","Fri Aug 11 12:00:23 WAT 2023","Fri Aug 11 12:00:23 WAT 2023","253","Account","Corporate","","","","Get the details of requested master account",""
"passed","Fri Aug 11 12:00:25 WAT 2023","Fri Aug 11 12:00:25 WAT 2023","281","Account","Senders","","","","Get the list of all your senders",""
"passed","Fri Aug 11 11:59:53 WAT 2023","Fri Aug 11 11:59:53 WAT 2023","295","Marketing","SMS Campaigns","","","","Send a test SMS campaign",""
"passed","Fri Aug 11 11:59:38 WAT 2023","Fri Aug 11 11:59:38 WAT 2023","264","Sales CRM","Companies","","","","Delete a company",""
"passed","Fri Aug 11 12:00:15 WAT 2023","Fri Aug 11 12:00:16 WAT 2023","260","Account","Webhooks","","","","Get all webhooks",""
"passed","Fri Aug 11 11:59:48 WAT 2023","Fri Aug 11 11:59:48 WAT 2023","261","Marketing","Email Campaigns","","","","Send an email campaign to your test list",""
"passed","Fri Aug 11 12:00:14 WAT 2023","Fri Aug 11 12:00:14 WAT 2023","270","Transactional","Transactional SMS","","","","Send SMS message to a mobile number",""
"failed","Fri Aug 11 12:00:07 WAT 2023","Fri Aug 11 12:00:07 WAT 2023","368","Transactional","Email API","","","","Get the personalized content of a sent transactional email",""
"passed","Fri Aug 11 11:59:36 WAT 2023","Fri Aug 11 11:59:37 WAT 2023","720","Sales CRM","Companies","","","","Get all Companies",""
"passed","Fri Aug 11 12:00:13 WAT 2023","Fri Aug 11 12:00:14 WAT 2023","361","Transactional","Inbound Email Parsing","","","","Fetch all events history for one particular received email.",""
"passed","Fri Aug 11 12:00:17 WAT 2023","Fri Aug 11 12:00:17 WAT 2023","292","Account","Reseller","Credits","","","Add Email and/or SMS credits to a specific child account",""
"passed","Fri Aug 11 11:59:56 WAT 2023","Fri Aug 11 11:59:56 WAT 2023","303","Conversations","Pushed messages","","","","Get an automated message",""
"passed","Fri Aug 11 12:00:22 WAT 2023","Fri Aug 11 12:00:22 WAT 2023","301","Account","Reseller","Child accounts","","","Creates a reseller child",""
"passed","Fri Aug 11 11:59:56 WAT 2023","Fri Aug 11 11:59:56 WAT 2023","262","Conversations","Pushed messages","","","","Send an automated message to a visitor",""
"passed","Fri Aug 11 11:59:54 WAT 2023","Fri Aug 11 11:59:54 WAT 2023","282","Marketing","SMS Campaigns","","","","Send an SMS campaign's report",""
"passed","Fri Aug 11 12:00:10 WAT 2023","Fri Aug 11 12:00:11 WAT 2023","379","Transactional","Statistics","","","","Get all your transactional email activity (unaggregated events)",""
"passed","Fri Aug 11 11:59:41 WAT 2023","Fri Aug 11 11:59:41 WAT 2023","270","Sales CRM","Deals","","","","Delete a deal",""
"passed","Fri Aug 11 12:00:11 WAT 2023","Fri Aug 11 12:00:11 WAT 2023","273","Transactional","Blocked Contacts","","","","Unblock or resubscribe a transactional contact",""
"passed","Fri Aug 11 12:00:17 WAT 2023","Fri Aug 11 12:00:18 WAT 2023","290","Account","Reseller","IP management","","","Associate a dedicated IP to the child",""
"failed","Fri Aug 11 11:59:54 WAT 2023","Fri Aug 11 11:59:54 WAT 2023","351","Conversations","Messages","","","","Send a message as an agent",""
"passed","Fri Aug 11 12:00:13 WAT 2023","Fri Aug 11 12:00:13 WAT 2023","311","Transactional","Inbound Email Parsing","","","","Get the list of all the events for the received emails.",""
"passed","Fri Aug 11 11:59:53 WAT 2023","Fri Aug 11 11:59:53 WAT 2023","301","Marketing","SMS Campaigns","","","","Update a campaign's status",""
"passed","Fri Aug 11 11:59:38 WAT 2023","Fri Aug 11 11:59:39 WAT 2023","294","Sales CRM","Companies","","","","Update a company",""
"passed","Fri Aug 11 11:59:49 WAT 2023","Fri Aug 11 11:59:49 WAT 2023","354","Marketing","Email Campaigns","","","","Send the report of a campaign",""
"passed","Fri Aug 11 11:59:49 WAT 2023","Fri Aug 11 11:59:49 WAT 2023","306","Marketing","Email Campaigns","","","","Get an A/B test email campaign results",""
"passed","Fri Aug 11 12:00:12 WAT 2023","Fri Aug 11 12:00:12 WAT 2023","412","Transactional","Blocked Domains","","","","Unblock an existing domain from the list of blocked domains",""
"passed","Fri Aug 11 11:59:41 WAT 2023","Fri Aug 11 11:59:41 WAT 2023","259","Sales CRM","Deals","","","","Update a deal",""
